Date,CategoryCode,UnitsSold
2014-01-02,M01AB,0.0
2014-01-02,M01AE,3.67
2014-01-02,N02BA,3.4
2014-01-02,N02BE,32.4
2014-01-02,N05B,7.0
2014-01-02,N05C,0.0
2014-01-02,R03,0.0
2014-01-02,R06,2.0
2014-01-03,M01AB,8.0
2014-01-03,M01AE,4.0
2014-01-03,N02BA,4.4
2014-01-03,N02BE,50.6
2014-01-03,N05B,16.0
2014-01-03,N05C,0.0
2014-01-03,R03,20.0
2014-01-03,R06,4.0
2014-01-04,M01AB,2.0
2014-01-04,M01AE,1.0
2014-01-04,N02BA,6.5
2014-01-04,N02BE,61.85
2014-01-04,N05B,10.0
2014-01-04,N05C,0.0
2014-01-04,R03,9.0
2014-01-04,R06,1.0
2014-01-05,M01AB,4.0
2014-01-05,M01AE,3.0
2014-01-05,N02BA,7.0
2014-01-05,N02BE,41.1
2014-01-05,N05B,8.0
2014-01-05,N05C,0.0
2014-01-05,R03,3.0
2014-01-05,R06,0.0
2014-01-06,M01AB,5.0
2014-01-06,M01AE,1.0
2014-01-06,N02BA,4.5
2014-01-06,N02BE,21.7
2014-01-06,N05B,16.0
2014-01-06,N05C,2.0
2014-01-06,R03,6.0
2014-01-06,R06,2.0
2014-01-07,M01AB,0.0
2014-01-07,M01AE,0.0
2014-01-07,N02BA,0.0
2014-01-07,N02BE,0.0
2014-01-07,N05B,0.0
2014-01-07,N05C,0.0
2014-01-07,R03,0.0
2014-01-07,R06,0.0
2014-01-08,M01AB,5.33
2014-01-08,M01AE,3.0
2014-01-08,N02BA,10.5
2014-01-08,N02BE,26.4
2014-01-08,N05B,19.0
2014-01-08,N05C,1.0
2014-01-08,R03,10.0
2014-01-08,R06,0.0
2014-01-09,M01AB,7.0
2014-01-09,M01AE,1.68
2014-01-09,N02BA,8.0
2014-01-09,N02BE,25.0
2014-01-09,N05B,16.0
2014-01-09,N05C,0.0
2014-01-09,R03,3.0
2014-01-09,R06,2.0
2014-01-10,M01AB,5.0
2014-01-10,M01AE,2.0
2014-01-10,N02BA,2.0
2014-01-10,N02BE,53.3
2014-01-10,N05B,15.0
2014-01-10,N05C,2.0
2014-01-10,R03,0.0
2014-01-10,R06,2.0
2014-01-11,M01AB,5.0
2014-01-11,M01AE,4.34
2014-01-11,N02BA,10.4
2014-01-11,N02BE,52.3
2014-01-11,N05B,14.0
2014-01-11,N05C,0.0
2014-01-11,R03,1.0
2014-01-11,R06,0.2
2014-01-12,M01AB,2.0
2014-01-12,M01AE,0.66
2014-01-12,N02BA,2.5
2014-01-12,N02BE,12.0
2014-01-12,N05B,8.0
2014-01-12,N05C,0.0
2014-01-12,R03,1.0
2014-01-12,R06,1.0
2014-01-13,M01AB,7.34
2014-01-13,M01AE,7.66
2014-01-13,N02BA,6.2
2014-01-13,N02BE,52.0
2014-01-13,N05B,9.0
2014-01-13,N05C,0.0
2014-01-13,R03,7.0
2014-01-13,R06,1.0
2014-01-14,M01AB,6.0
2014-01-14,M01AE,1.33
2014-01-14,N02BA,12.3
2014-01-14,N02BE,33.7
2014-01-14,N05B,6.0
2014-01-14,N05C,1.0
2014-01-14,R03,0.0
2014-01-14,R06,2.0
2014-01-15,M01AB,4.0
2014-01-15,M01AE,2.34
2014-01-15,N02BA,5.0
2014-01-15,N02BE,26.7
2014-01-15,N05B,12.0
2014-01-15,N05C,2.0
2014-01-15,R03,3.0
2014-01-15,R06,3.0
2014-01-16,M01AB,6.0
2014-01-16,M01AE,2.0
2014-01-16,N02BA,4.3
2014-01-16,N02BE,28.3
2014-01-16,N05B,19.0
2014-01-16,N05C,1.0
2014-01-16,R03,5.0
2014-01-16,R06,0.0
2014-01-17,M01AB,2.0
2014-01-17,M01AE,3.68
2014-01-17,N02BA,8.3
2014-01-17,N02BE,20.4
2014-01-17,N05B,15.0
2014-01-17,N05C,0.0
2014-01-17,R03,6.0
2014-01-17,R06,3.0
2014-01-18,M01AB,1.0
2014-01-18,M01AE,5.33
2014-01-18,N02BA,5.8
2014-01-18,N02BE,43.2
2014-01-18,N05B,15.0
2014-01-18,N05C,4.0
2014-01-18,R03,7.0
2014-01-18,R06,2.0
2014-01-19,M01AB,4.33
2014-01-19,M01AE,4.0
2014-01-19,N02BA,4.0
2014-01-19,N02BE,14.1
2014-01-19,N05B,4.0
2014-01-19,N05C,0.0
2014-01-19,R03,1.0
2014-01-19,R06,1.0
2014-01-20,M01AB,6.0
2014-01-20,M01AE,3.34
2014-01-20,N02BA,3.3
2014-01-20,N02BE,11.9
2014-01-20,N05B,18.0
2014-01-20,N05C,2.0
2014-01-20,R03,12.0
2014-01-20,R06,3.0
